Leverandørnummer,Navn,Organisasjonsnummer,Telefonnummer,Telefonnr. mobil,E-postadresse,Postadresse Linje,Postadresse Postnr.,Postadresse Sted,Postadresse Land,Forretningsadresse Linje,Forretningsadresse Postnr.,Forretningsadresse Sted,Forretningsadresse Land
20047,2clean AS,987704918,,48 08 04 00,post@2clean.no,Hovfaret 4,275,OSLO,Norge,Hovfaret 4,275,OSLO,Norge
20311,4Service Kantine AS,990035946,,,,Brynsalleen 4,667,Oslo,,,,,
20444,07 Media Sør AS,913193911,,,,Industrigata 33,4632,KRISTIANSAND,,,,,
20234,130 Storebrand Pensjonstjenester,931936492,,,,Professor Kohts vei 9,1366,LYSAKER,,,,,
20439,Abe Star Parkett AS,981566459,,,,Vestbyveien 10,1914,YTRE ENEBAKK,,,,,
20200,Addsecure AS,976145178,81 53 37 00,,firmapost@addsecure.no,Postboks 6715 Etterstad,609,OSLO,Norge,Østensjøveien 18,661,OSLO,Norge
20058,Aftenposten AS,890412882,22 86 30 00,,Post@aftenposten.no,Postboks 1178,107,OSLO,Norge,Akersgata 55,180,OSLO,Norge
20015,Ahlsell Norge AS,910478656,51 81 85 00,,info@ahlsell.no,Postboks 184,4065,STAVANGER,Norge,Brobekkveien 80A,582,OSLO,Norge
20277,Aimo Park Norway AS (ANPR GL),946359106,,,,Ole Deviks vei 6C,666,OSLO,,,,,
20055,"Ajl - Andresen, Jacobsen &",988427047,22 62 74 25,91768952,ml@ajl.no,Postboks 150  Oppsal,619,OSLO,Norge,Olaf Helsets vei 6,694,OSLO,Norge
20207,Aj Produkter AS,933541835,67 02 42 00,,info@ajprodukter.no,Postboks 53,2041,KLØFTA,Norge,Myrvangvegen 14,2040,KLØFTA,Norge
20346,Alektum AS,950520140,33 74 45 00,,,Postboks 2370,3103,TØNSBERG,,Nedre Langgate 20,3126,TØNSBERG,Norge
20122,Aleris Helse AS,943545634,22 54 10 00,,,Fredrik Stangsg 11-13,264,OSLO,Norge,Fredrik Stangsg 11-13,264,OSLO,Norge
20092,Alfa Brannvern AS,990599963,,40489644,post@alfabrannvern.no,Postboks 87,3051,MJØNDALEN,Norge,Strandveien 29,3050,MJØNDALEN,Norge
20338,Alfa Laval Nordic AS,947932683,66 85 80 00,,,Postboks 96,1300,SANDVIKA,,Billingstadsletta 13,1396,BILLINGSTAD,
